"date","state","party","amt"
"2020-03-05","AK","R",603
"2020-03-05","AZ","D",6221
"2020-03-05","AZ","R",3093
"2020-03-05","AR","D",1614
"2020-03-05","AR","R",1432
"2020-03-05","CA","D",40005
"2020-03-05","CA","R",10452
"2020-03-05","CO","D",6241
"2020-03-05","CO","R",2240
"2020-03-05","CT","D",4622
"2020-03-05","CT","R",1046
"2020-03-05","DE","D",1512
"2020-03-05","DE","R",487
"2020-03-05","FL","D",22899
"2020-03-05","FL","R",11064
"2020-03-05","GA","D",8055
"2020-03-05","GA","R",4743
"2020-03-05","HI","D",834
"2020-03-05","HI","R",457
"2020-03-05","ID","D",974
"2020-03-05","ID","R",946
"2020-03-05","IL","D",12831
"2020-03-05","IL","R",3205
"2020-03-05","IN","D",4181
"2020-03-05","IN","R",2461
"2020-03-05","IA","D",2548
"2020-03-05","IA","R",1171
"2020-03-05","KS","D",2031
"2020-03-05","KS","R",1165
"2020-03-05","KY","D",2750
"2020-03-05","KY","R",1936
"2020-03-05","LA","D",1863
"2020-03-05","LA","R",2115
"2020-03-05","ME","D",1855
"2020-03-05","ME","R",634
"2020-03-05","MD","D",7598
"2020-03-05","MD","R",1631
"2020-03-05","MA","D",11599
"2020-03-05","MA","R",1786
"2020-03-05","MI","D",12826
"2020-03-05","MI","R",3691
"2020-03-05","MN","D",5370
"2020-03-05","MN","R",1797
"2020-03-05","MS","D",3290
"2020-03-05","MS","R",1412
"2020-03-05","MO","D",8670
"2020-03-05","MO","R",2386
"2020-03-05","MT","D",734
"2020-03-05","MT","R",632
"2020-03-05","NE","D",1155
"2020-03-05","NE","R",818
"2020-03-05","NV","D",2256
"2020-03-05","NV","R",1268
"2020-03-05","NH","D",1646
"2020-03-05","NH","R",702
"2020-03-05","NJ","D",9597
"2020-03-05","NJ","R",2536
"2020-03-05","NM","D",1478
"2020-03-05","NM","R",768
"2020-03-05","NY","D",24839
"2020-03-05","NY","R",5157
"2020-03-05","NC","D",9912
"2020-03-05","NC","R",4745
"2020-03-05","ND","D",352
"2020-03-05","ND","R",481
"2020-03-05","OH","D",10504
"2020-03-05","OH","R",4257
"2020-03-05","OK","D",2126
"2020-03-05","OK","R",2211
"2020-03-05","OR","D",4239
"2020-03-05","OR","R",1391
"2020-03-05","PA","D",12179
"2020-03-05","PA","R",4096
"2020-03-05","RI","D",1346
"2020-03-05","RI","R",463
"2020-03-05","SC","D",4288
"2020-03-05","SC","R",2894
"2020-03-05","SD","D",420
"2020-03-05","SD","R",479
"2020-03-05","TN","D",4641
"2020-03-05","TN","R",3391
"2020-03-05","TX","D",17496
"2020-03-05","TX","R",12817
"2020-03-05","UT","D",1919
"2020-03-05","UT","R",1220
"2020-03-05","VT","D",886
"2020-03-05","VT","R",351
"2020-03-05","VA","D",10159
"2020-03-05","VA","R",3510
"2020-03-05","DC","D",2506
"2020-03-05","DC","R",300
"2020-03-05","WA","D",9066
"2020-03-05","WA","R",2407
"2020-03-05","WV","D",973
"2020-03-05","WV","R",901
"2020-03-05","WI","D",4040
"2020-03-05","WI","R",1596
"2020-03-05","WY","D",311
"2020-03-05","WY","R",479
"2020-03-06","AL","D",1839
"2020-03-06","AL","R",698
"2020-03-06","AK","D",419
"2020-03-06","AK","R",316
"2020-03-06","AZ","D",4740
"2020-03-06","AZ","R",990
"2020-03-06","AR","D",1230
"2020-03-06","AR","R",470
"2020-03-06","CA","D",28004
"2020-03-06","CA","R",2967
"2020-03-06","CO","D",4550
"2020-03-06","CO","R",757
"2020-03-06","CT","D",3239
"2020-03-06","CT","R",400
"2020-03-06","DE","D",1018
"2020-03-06","DE","R",300
"2020-03-06","FL","D",18295
"2020-03-06","FL","R",2674
"2020-03-06","GA","D",5216
"2020-03-06","GA","R",1138
"2020-03-06","HI","D",719
"2020-03-06","HI","R",300
"2020-03-06","ID","D",815
"2020-03-06","ID","R",408
"2020-03-06","IL","D",10440
"2020-03-06","IL","R",908
"2020-03-06","IN","D",3127
"2020-03-06","IN","R",729
"2020-03-06","IA","D",1868
"2020-03-06","IA","R",459
"2020-03-06","KS","D",1684
"2020-03-06","KS","R",460
